Definition,Infinitive,Present Participle,Past Participle,Principal Parts of the Verb,Present,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future I,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future II,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Imperative,2nd Person Singular,,2nd Person Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to regard sb./sth. [highly etc.],achten,achtend,geachtet,achten - achtet - achtete - hat geachtet,ich,achte,achtest,achtet,achten,achtet,achten,ich,habe geachtet,hast geachtet,hat geachtet,haben geachtet,habt geachtet,haben geachtet,ich,achtete,achtetest,achtete,achteten,achtetet,achteten,ich,hatte geachtet,hattest geachtet,hatte geachtet,hatten geachtet,hattet geachtet,hatten geachtet,ich,werde achten,wirst achten,wird achten,werden achten,werdet achten,werden achten,ich,werde geachtet haben,wirst geachtet haben,wird geachtet haben,werden geachtet haben,werdet geachtet haben,werden geachtet haben,ich,achte,achtest,achte,achten,achtet,achten,ich,habe geachtet,habest geachtet,habe geachtet,haben geachtet,habet geachtet,haben geachtet,ich,achtete,achtetest,achtete,achteten,achtetet,achteten,ich,hätte geachtet,hättest geachtet,hätte geachtet,hätten geachtet,hättet geachtet,hätten geachtet,ich,würde achten,würdest achten,würde achten,würden achten,würdet achten,würden achten,ich,würde geachtet haben,würdest geachtet haben,würde geachtet haben,würden geachtet haben,würdet geachtet haben,würden geachtet haben,du,achte,ihr,achtet,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to acknowledge,anerkennen,anerkennend,anerkannt,anerkennen - erkennt an - erkannte an - hat anerkannt,ich,erkenne an,erkennst an,erkennt an,erkennen an,erkennt an,erkennen an,ich,habe anerkannt,hast anerkannt,hat anerkannt,haben anerkannt,habt anerkannt,haben anerkannt,ich,erkannte an,erkanntest an,erkannte an,erkannten an,erkanntet an,erkannten an,ich,hatte anerkannt,hattest anerkannt,hatte anerkannt,hatten anerkannt,hattet anerkannt,hatten anerkannt,ich,werde anerkennen,wirst anerkennen,wird anerkennen,werden anerkennen,werdet anerkennen,werden anerkennen,ich,werde anerkannt haben,wirst anerkannt haben,wird anerkannt haben,werden anerkannt haben,werdet anerkannt haben,werden anerkannt haben,ich,erkenne an,erkennest an,erkenne an,erkennen an,erkennet an,erkennen an,ich,habe anerkannt,habest anerkannt,habe anerkannt,haben anerkannt,habet anerkannt,haben anerkannt,ich,erkennte an,erkenntest an,erkennte an,erkennten an,erkenntet an,erkennten an,ich,hätte anerkannt,hättest anerkannt,hätte anerkannt,hätten anerkannt,hättet anerkannt,hätten anerkannt,ich,würde anerkennen,würdest anerkennen,würde anerkennen,würden anerkennen,würdet anerkennen,würden anerkennen,ich,würde anerkannt haben,würdest anerkannt haben,würde anerkannt haben,würden anerkannt haben,würdet anerkannt haben,würden anerkannt haben,du,erkenne an,ihr,erkennt an,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to commence,anfangen,anfangend,angefangen,anfangen - fängt an - fing an - hat angefangen,ich,fange an,fängst an,fängt an,fangen an,fangt an,fangen an,ich,habe angefangen,hast angefangen,hat angefangen,haben angefangen,habt angefangen,haben angefangen,ich,fing an,fingst an,fing an,fingen an,fingt an,fingen an,ich,hatte angefangen,hattest angefangen,hatte angefangen,hatten angefangen,hattet angefangen,hatten angefangen,ich,werde anfangen,wirst anfangen,wird anfangen,werden anfangen,werdet anfangen,werden anfangen,ich,werde angefangen haben,wirst angefangen haben,wird angefangen haben,werden angefangen haben,werdet angefangen haben,werden angefangen haben,ich,fange an,fangest an,fange an,fangen an,fanget an,fangen an,ich,habe angefangen,habest angefangen,habe angefangen,haben angefangen,habet angefangen,haben angefangen,ich,finge an,fingest an,finge an,fingen an,finget an,fingen an,ich,hätte angefangen,hättest angefangen,hätte angefangen,hätten angefangen,hättet angefangen,hätten angefangen,ich,würde anfangen,würdest anfangen,würde anfangen,würden anfangen,würdet anfangen,würden anfangen,ich,würde angefangen haben,würdest angefangen haben,würde angefangen haben,würden angefangen haben,würdet angefangen haben,würden angefangen haben,du,fange an,fang an,ihr,fangt an,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to arrive,ankommen,ankommend,angekommen,ankommen - kommt an - kam an - ist angekommen,ich,komme an,kommst an,kommt an,kommen an,kommt an,kommen an,ich,bin angekommen,bist angekommen,ist angekommen,sind angekommen,seid angekommen,sind angekommen,ich,kam an,kamst an,kam an,kamen an,kamt an,kamen an,ich,war angekommen,warst angekommen,war angekommen,waren angekommen,wart angekommen,waren angekommen,ich,werde ankommen,wirst ankommen,wird ankommen,werden ankommen,werdet ankommen,werden ankommen,ich,werde angekommen sein,wirst angekommen sein,wird angekommen sein,werden angekommen sein,werdet angekommen sein,werden angekommen sein,ich,komme an,kommest an,komme an,kommen an,kommet an,kommen an,ich,sei angekommen,seiest angekommen,sei angekommen,seien angekommen,seiet angekommen,seien angekommen,ich,käme an,kämest an,käme an,kämen an,kämet an,kämen an,ich,wäre angekommen,wärest angekommen,wäre angekommen,wären angekommen,wäret angekommen,wären angekommen,ich,würde ankommen,würdest ankommen,würde ankommen,würden ankommen,würdet ankommen,würden ankommen,ich,würde angekommen sein,würdest angekommen sein,würde angekommen sein,würden angekommen sein,würdet angekommen sein,würden angekommen sein,du,komme an,komm an,ihr,kommt an,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to attack sb./sth.,angreifen,angreifend,angegriffen,angreifen - greift an - griff an - hat angegriffen,ich,greife an,greifst an,greift an,greifen an,greift an,greifen an,ich,habe angegriffen,hast angegriffen,hat angegriffen,haben angegriffen,habt angegriffen,haben angegriffen,ich,griff an,griffst an,griff an,griffen an,grifft an,griffen an,ich,hatte angegriffen,hattest angegriffen,hatte angegriffen,hatten angegriffen,hattet angegriffen,hatten angegriffen,ich,werde angreifen,wirst angreifen,wird angreifen,werden angreifen,werdet angreifen,werden angreifen,ich,werde angegriffen haben,wirst angegriffen haben,wird angegriffen haben,werden angegriffen haben,werdet angegriffen haben,werden angegriffen haben,ich,greife an,greifest an,greife an,greifen an,greifet an,greifen an,ich,habe angegriffen,habest angegriffen,habe angegriffen,haben angegriffen,habet angegriffen,haben angegriffen,ich,griffe an,griffest an,griffe an,griffen an,griffet an,griffen an,ich,hätte angegriffen,hättest angegriffen,hätte angegriffen,hätten angegriffen,hättet angegriffen,hätten angegriffen,ich,würde angreifen,würdest angreifen,würde angreifen,würden angreifen,würdet angreifen,würden angreifen,ich,würde angegriffen haben,würdest angegriffen haben,würde angegriffen haben,würden angegriffen haben,würdet angegriffen haben,würden angegriffen haben,du,greife an,ihr,greift an,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloth. to wear sth. [an item of clothing (but not a hat)],anhaben,anhabend,angehabt,anhaben - hat an - hatte an - hat angehabt,ich,habe an,hast an,hat an,haben an,habt an,haben an,ich,habe angehabt,hast angehabt,hat angehabt,haben angehabt,habt angehabt,haben angehabt,ich,hatte an,hattest an,hatte an,hatten an,hattet an,hatten an,ich,hatte angehabt,hattest angehabt,hatte angehabt,hatten angehabt,hattet angehabt,hatten angehabt,ich,werde anhaben,wirst anhaben,wird anhaben,werden anhaben,werdet anhaben,werden anhaben,ich,werde angehabt haben,wirst angehabt haben,wird angehabt haben,werden angehabt haben,werdet angehabt haben,werden angehabt haben,ich,habe an,habest an,habe an,haben an,habet an,haben an,ich,habe angehabt,habest angehabt,habe angehabt,haben angehabt,habet angehabt,haben angehabt,ich,hätte an,hättest an,hätte an,hätten an,hättet an,hätten an,ich,hätte angehabt,hättest angehabt,hätte angehabt,hätten angehabt,hättet angehabt,hätten angehabt,ich,würde anhaben,würdest anhaben,würde anhaben,würden anhaben,würdet anhaben,würden anhaben,ich,würde angehabt haben,würdest angehabt haben,würde angehabt haben,würden angehabt haben,würdet angehabt haben,würden angehabt haben,du,habe an,ihr,habt an,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to assume (sth.),annehmen,annehmend,angenommen,annehmen - nimmt an - nahm an - hat angenommen,ich,nehme an,nimmst an,nimmt an,nehmen an,nehmt an,nehmen an,ich,habe angenommen,hast angenommen,hat angenommen,haben angenommen,habt angenommen,haben angenommen,ich,nahm an,nahmst an,nahm an,nahmen an,nahmt an,nahmen an,ich,hatte angenommen,hattest angenommen,hatte angenommen,hatten angenommen,hattet angenommen,hatten angenommen,ich,werde annehmen,wirst annehmen,wird annehmen,werden annehmen,werdet annehmen,werden annehmen,ich,werde angenommen haben,wirst angenommen haben,wird angenommen haben,werden angenommen haben,werdet angenommen haben,werden angenommen haben,ich,nehme an,nehmest an,nehme an,nehmen an,nehmet an,nehmen an,ich,habe angenommen,habest angenommen,habe angenommen,haben angenommen,habet angenommen,haben angenommen,ich,nähme an,nähmest an,nähme an,nähmen an,nähmet an,nähmen an,ich,hätte angenommen,hättest angenommen,hätte angenommen,hätten angenommen,hättet angenommen,hätten angenommen,ich,würde annehmen,würdest annehmen,würde annehmen,würden annehmen,würdet annehmen,würden annehmen,ich,würde angenommen haben,würdest angenommen haben,würde angenommen haben,würden angenommen haben,würdet angenommen haben,würden angenommen haben,du,nimm an,ihr,nehmt an,English,English,English,English,English,English,English,English,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telecom. to call [telephone],anrufen,anrufend,angerufen,anrufen - ruft an - rief an - hat angerufen,ich,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an,ich,habe angerufen,hast angerufen,hat angerufen,haben angerufen,habt angerufen,haben angerufen,ich,rief an,riefst an,rief an,riefen an,rieft an,riefen an,ich,hatte angerufen,hattest angerufen,hatte angerufen,hatten angerufen,hattet angerufen,hatten angerufen,ich,werde anrufen,wirst anrufen,wird anrufen,werden anrufen,werdet anrufen,werden anrufen,ich,werde angerufen haben,wirst angerufen haben,wird angerufen haben,werden angerufen haben,werdet angerufen haben,werden angerufen haben,ich,rufe an,rufest an,rufe an,rufen an,rufet an,rufen an,ich,habe angerufen,habest angerufen,habe angerufen,haben angerufen,habet angerufen,haben angerufen,ich,riefe an,riefest an,riefe an,riefen an,riefet an,riefen an,ich,hätte angerufen,hättest angerufen,hätte angerufen,hätten angerufen,hättet angerufen,hätten angerufen,ich,würde anrufen,würdest anrufen,würde anrufen,würden anrufen,würdet anrufen,würden anrufen,ich,würde angerufen haben,würdest angerufen haben,würde angerufen haben,würden angerufen haben,würdet angerufen haben,würden angerufen haben,du,rufe an,ruf an,ihr,ruft an,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to dress,sich anziehen,anziehend,angezogen,sich anziehen - zieht an - zog an - hat angezogen,ich,ziehe an,ziehst an,zieht an,ziehen an,zieht an,ziehen an,ich,habe angezogen,hast angezogen,hat angezogen,haben angezogen,habt angezogen,haben angezogen,ich,zog an,zogst an,zog an,zogen an,zogt an,zogen an,ich,hatte angezogen,hattest angezogen,hatte angezogen,hatten angezogen,hattet angezogen,hatten angezogen,ich,werde mich anziehen,wirst dich anziehen,wird sich anziehen,werden uns anziehen,werdet euch anziehen,werden sich anziehen,ich,werde mich angezogen haben,wirst dich angezogen haben,wird sich angezogen haben,werden uns angezogen haben,werdet euch angezogen haben,werden sich angezogen haben,ich,ziehe an,ziehest an,ziehe an,ziehen an,ziehet an,ziehen an,ich,habe angezogen,habest angezogen,habe angezogen,haben angezogen,habet angezogen,haben angezogen,ich,zöge an,zögest an,zöge an,zögen an,zöget an,zögen an,ich,hätte angezogen,hättest angezogen,hätte angezogen,hätten angezogen,hättet angezogen,hätten angezogen,ich,würde mich anziehen,würdest dich anziehen,würde sich anziehen,würden uns anziehen,würdet euch anziehen,würden sich anziehen,ich,würde mich angezogen haben,würdest dich angezogen haben,würde sich angezogen haben,würden uns angezogen haben,würdet euch angezogen haben,würden sich angezogen haben,du,ziehe an,zieh an,ihr,zieht an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to work,arbeiten,arbeitend,gearbeitet,arbeiten - arbeitet - arbeitete - hat gearbeitet,ich,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,ich,habe gearbeitet,hast gearbeitet,hat gearbeitet,haben gearbeitet,habt gearbeitet,haben gearbeitet,ich,arbeitete,arbeitetest,arbeitete,arbeiteten,arbeitetet,arbeiteten,ich,hatte gearbeitet,hattest gearbeitet,hatte gearbeitet,hatten gearbeitet,hattet gearbeitet,hatten gearbeitet,ich,werde arbeiten,wirst arbeiten,wird arbeiten,werden arbeiten,werdet arbeiten,werden arbeiten,ich,werde gearbeitet haben,wirst gearbeitet haben,wird gearbeitet haben,werden gearbeitet haben,werdet gearbeitet haben,werden gearbeitet haben,ich,arbeite,arbeitest,arbeite,arbeiten,arbeitet,arbeiten,ich,habe gearbeitet,habest gearbeitet,habe gearbeitet,haben gearbeitet,habet gearbeitet,haben gearbeitet,ich,arbeitete,arbeitetest,arbeitete,arbeiteten,arbeitetet,arbeiteten,ich,hätte gearbeitet,hättest gearbeitet,hätte gearbeitet,hätten gearbeitet,hättet gearbeitet,hätten gearbeitet,ich,würde arbeiten,würdest arbeiten,würde arbeiten,würden arbeiten,würdet arbeiten,würden arbeiten,ich,würde gearbeitet haben,würdest gearbeitet haben,würde gearbeitet haben,würden gearbeitet haben,würdet gearbeitet haben,würden gearbeitet haben,du,arbeite,ihr,arbeitet,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
