Definition,Infinitive,Mood,Tense,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural
[to be ],ESSERE, INDICATIVO, PRESENTE, io sono, tu sei, lui/lei è, noi siamo, voi siete, loro sono
[to be ],ESSERE, INDICATIVO, IMPERFETTO, io ero, tu eri, lui/lei era, noi eravamo, voi eravate, loro erano
[to be ],ESSERE, INDICATIVO, PASSATO REMOTO, io fui, tu fosti, lui/lei fu, noi fummo, voi foste, loro furono
[to be ],ESSERE, INDICATIVO, FUTURO SEMPLICE, io sarò, tu sarai, lui/lei sarà, noi saremo, voi sarete, loro saranno
[to be ],ESSERE, INDICATIVO, PASSATO PROSSIMO, io sono stato/a, tu sei stato/a, lui/lei è stato/a, noi siamo stati/e, voi siete stati/e, loro sono stati/e
[to be ],ESSERE, INDICATIVO, TRAPASSATO PROSSIMO, io ero stato/a, tu eri stato/a, lui/lei era stato/a, noi eravamo stati/e, voi eravate stati/e, loro erano stati/e
[to be ],ESSERE, INDICATIVO, TRAPASSATO REMOTO, io fui stato/a, tu fosti stato/a, lui/lei fu stato/a, noi fummo stati/e, voi foste stati/e, loro furono stati/e
[to be ],ESSERE, INDICATIVO, FUTURO ANTERIORE, io sarò stato/a, tu sarai stato/a, lui/lei sarà stato/a, noi saremo stati/e, voi sarete stati/e, loro saranno stati/e
[to be ],ESSERE, CONGIUNTIVO, PRESENTE, che io sia, che tu sia, che lui/lei sia, che noi siamo, che voi siate, che loro siano
[to be ],ESSERE, CONGIUNTIVO, IMPERFETTO, che io fossi, che tu fossi, che lui/lei fosse, che noi fossimo, che voi foste, che loro fossero
[to be ],ESSERE, CONGIUNTIVO, PASSATO, che io sia stato/a, che tu sia stato/a, che lui/lei sia stato/a, che noi siamo stati/e, che voi siate stati/e, che loro siano stati/e
[to be ],ESSERE, CONGIUNTIVO, TRAPASSATO, che io fossi stato/a, che tu fossi stato/a, che lui/lei fosse stato/a, che noi fossimo stati/e, che voi foste stati/e, che loro fossero stati/e
[to be ],ESSERE, CONDIZIONALE, Presente, io sarei, tu saresti, lui/lei sarebbe, noi saremmo, voi sareste, loro sarebbero
[to be ],ESSERE, CONDIZIONALE, Passato, io sarei stato/a, tu saresti stato/a, lui/lei sarebbe stato/a, noi saremmo stati/e, voi sareste stati/e, loro sarebbero stati/e
[to be ],ESSERE, IMPERATIVO, IMPERATIVO, PRESENTE,  sii, sia, siamo, siate, siano
[to go ],ANDARE, INDICATIVO, PRESENTE, io vado, tu vai, lui/lei va, noi andiamo, voi andate, loro vanno
[to go ],ANDARE, INDICATIVO, IMPERFETTO, io andavo, tu andavi, lui/lei andava, noi andavamo, voi andavate, loro andavano
[to go ],ANDARE, INDICATIVO, PASSATO REMOTO, io andai, tu andasti, lui/lei andò, noi andammo, voi andaste, loro andarono
[to go ],ANDARE, INDICATIVO, FUTURO SEMPLICE, io andrò, tu andrai, lui/lei andrà, noi andremo, voi andrete, loro andranno
[to go ],ANDARE, INDICATIVO, PASSATO PROSSIMO, io sono andato/a, tu sei andato/a, lui/lei è andato/a, noi siamo andati/e, voi siete andati/e, loro sono andati/e
[to go ],ANDARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero andato/a, tu eri andato/a, lui/lei era andato/a, noi eravamo andati/e, voi eravate andati/e, loro erano andati/e
[to go ],ANDARE, INDICATIVO, TRAPASSATO REMOTO, io fui andato/a, tu fosti andato/a, lui/lei fu andato/a, noi fummo andati/e, voi foste andati/e, loro furono andati/e
[to go ],ANDARE, INDICATIVO, FUTURO ANTERIORE, io sarò andato/a, tu sarai andato/a, lui/lei sarà andato/a, noi saremo andati/e, voi sarete andati/e, loro saranno andati/e
[to go ],ANDARE, CONGIUNTIVO, PRESENTE, che io vada, che tu vada, che lui/lei vada, che noi andiamo, che voi andiate, che loro vadano
[to go ],ANDARE, CONGIUNTIVO, IMPERFETTO, che io andassi, che tu andassi, che lui/lei andasse, che noi andassimo, che voi andaste, che loro andassero
[to go ],ANDARE, CONGIUNTIVO, PASSATO, che io sia andato/a, che tu sia andato/a, che lui/lei sia andato/a, che noi siamo andati/e, che voi siate andati/e, che loro siano andati/e
[to go ],ANDARE, CONGIUNTIVO, TRAPASSATO, che io fossi andato/a, che tu fossi andato/a, che lui/lei fosse andato/a, che noi fossimo andati/e, che voi foste andati/e, che loro fossero andati/e
