Definition,Hiragana,Casual,Polite,Casual Negative,Polite Negative,Casual Past,Polite Past,Casual Past Negative,Polite Past Negative,Te,Polite Te ,Negative Te,Command Negative Te,Polite Negative Te,I form,Casual Conditional,Polite Conditional,Casual Conditional Negative,Polite Conditional Negative,Casual Provisional,Casual Contextual ,Polite Contextual,Polite Provisional ば,Casual Provisional Negative ば,Casual Provisional Negative ち,Casual Provisional Negative き,Polite Provisional Negative,Casual Potential,Polite Potential,Casual Potential Negative,Polite Potential Negative,Casual Passive,Polite Passive,Casual Passive Negative,Polite Passive Negative,Casual Causative,Polite Causative,Polite (Slang) Causative,Casual Causative Negative,Casual (Slang) Causative Negative,Polite Causative Negative,Polite (Slang) Causative Negative,Casual Causative Passive,Polite Causative Passive,Casual Causative Passive Negative,Polite Causative Passive Negative,Volitional,Polite Volitional,Volitional Negative,Polite Volitional Negative,Conjectural,Polite Conjectural,Conjectural Negative,Polite Conjectural Negative,Alternative,Polite Alternative,Alternative Negative,Polite Alternative Negative,Imperative,Polite Imperative,Imperative Negative,Polite Imperative Negative,Casual Respectful,Polite Respectful,Casual Humble,Polite Humble,,,,,,,,,
to abate,よわまる,弱まる,弱まります,弱まらない,弱まりません,弱まった,弱まりました,弱まらなかった,弱まりませんでした,弱まって,弱まりまして,弱まらなくて,弱まらないで,弱まりませんで,弱まり,弱まったら,弱まりましたら,弱まらなかったら,弱まりませんでしたら,弱まれば,弱まるなら,弱まりますなら,弱まりませば,弱まらなければ,弱まらなくちゃ,弱まらなきゃ,弱まりませんなら,弱まれる,弱まれます,弱まれない,弱まれません,弱まられる,弱まられます,弱まられない,弱まられません,弱まらせる,弱まらせます,弱まらします,弱まらせない,弱まらさない,弱まらせません,弱まらしません,弱まらせられる,弱まらせられます,弱まらせられない,弱まらせられません,弱まろう,弱まりましょう,弱まるまい,弱まりますまい,弱まるだろう,弱まるでしょう,弱まらないだろう,弱まらないでしょう,弱まったり,弱まりましたり,弱まらなかったり,弱まりませんでしたり,弱まれ,弱まりなさい,弱まるな,弱まりなさるな,お弱まりになる,お弱まりになります,お弱まりする,お弱まりします,弱まらず＋に,弱まらぬ,,弱まらされません,弱まらされない,弱まらされる,弱まらす,漏らす,弱まらされます
to accompany,ともなう,伴う,伴います,伴わない,伴いません,伴った,伴いました,伴わなかった,伴いませんでした,伴って,伴いまして,伴わなくて,伴わないで,伴いませんで,伴い,伴ったら,伴いましたら,伴わなかったら,伴いませんでしたら,伴えば,伴うなら,伴いますなら,伴いませば,伴わなければ,伴わなくちゃ,伴わなきゃ,伴いませんなら,伴える,伴えます,伴えない,伴えません,伴われる,伴われます,伴われない,伴われません,伴わせる,伴わせます,伴わします,伴わせない,伴わさない,伴わせません,伴わしません,伴わせられる,伴わせられます,伴わせられない,伴わせられません,伴おう,伴いましょう,伴うまい,伴いますまい,伴うだろう,伴うでしょう,伴わないだろう,伴わないでしょう,伴ったり,伴いましたり,伴わなかったり,伴いませんでしたり,伴え,伴いなさい,伴うな,伴いなさるな,お伴いになる,お伴いになります,お伴いする,お伴いします,伴わず＋に,伴わぬ,,伴わされません,伴わされない,伴わされる,伴わす,,伴わされます
to accomplish,はたす,果たす,果たします,果たさない,果たしません,果たした,果たしました,果たさなかった,果たしませんでした,果たして,果たしまして,果たさなくて,果たさないで,果たしませんで,果たし,果たしたら,果たしましたら,果たさなかったら,果たしませんでしたら,果たせば,果たすなら,果たしますなら,果たしませば,果たさなければ,果たさなくちゃ,果たさなきゃ,果たしませんなら,果たせる,果たせます,果たせない,果たせません,果たされる,果たされます,果たされない,果たされません,果たさせる,果たさせます,果たさします,果たさせない,果たささない,果たさせません,果たさしません,果たさせられる,果たさせられます,果たさせられない,果たさせられません,果たそう,果たしましょう,果たすまい,果たしますまい,果たすだろう,果たすでしょう,果たさないだろう,果たさないでしょう,果たしたり,果たしましたり,果たさなかったり,果たしませんでしたり,果たせ,果たしなさい,果たすな,果たしなさるな,お果たしになる,お果たしになります,お果たしする,お果たしします,果たさず＋に,果たさぬ,,果たさされません,果たさされない,果たさされる,果たさす,,果たさされます
to accustom,ならす,慣らす,慣らします,慣らさない,慣らしません,慣らした,慣らしました,慣らさなかった,慣らしませんでした,慣らして,慣らしまして,慣らさなくて,慣らさないで,慣らしませんで,慣らし,慣らしたら,慣らしましたら,慣らさなかったら,慣らしませんでしたら,慣らせば,慣らすなら,慣らしますなら,慣らしませば,慣らさなければ,慣らさなくちゃ,慣らさなきゃ,慣らしませんなら,慣らせる,慣らせます,慣らせない,慣らせません,慣らされる,慣らされます,慣らされない,慣らされません,慣らさせる,慣らさせます,慣らさします,慣らさせない,慣らささない,慣らさせません,慣らさしません,慣らさせられる,慣らさせられます,慣らさせられない,慣らさせられません,慣らそう,慣らしましょう,慣らすまい,慣らしますまい,慣らすだろう,慣らすでしょう,慣らさないだろう,慣らさないでしょう,慣らしたり,慣らしましたり,慣らさなかったり,慣らしませんでしたり,慣らせ,慣らしなさい,慣らすな,慣らしなさるな,お慣らしになる,お慣らしになります,お慣らしする,お慣らしします,慣らさず＋に,慣らさぬ,,慣らさされません,慣らさされない,慣らさされる,慣らさす,,慣らさされます
to act as an agent for,とりつぐ,取り次ぐ,取り次ぎます,取り次がない,取り次ぎません,取り次いだ,取り次ぎました,取り次がなかった,取り次ぎませんでした,取り次いで,取り次ぎまして,取り次がなくて,取り次がないで,取り次ぎませんで,取り次ぎ,取り次いだら,取り次ぎましたら,取り次がなかったら,取り次ぎませんでしたら,取り次げば,取り次ぐなら,取り次ぎますなら,取り次ぎませば,取り次がなければ,取り次がなくちゃ,取り次がなきゃ,取り次ぎませんなら,取り次げる,取り次げます,取り次げない,取り次げません,取り次がれる,取り次がれます,取り次がれない,取り次がれません,取り次がせる,取り次がせます,取り次がします,取り次がせない,取り次がさない,取り次がせません,取り次がしません,取り次がせられる,取り次がせられます,取り次がせられない,取り次がせられません,取り次ごう,取り次ぎましょう,取り次ぐまい,取り次ぎますまい,取り次ぐだろう,取り次ぐでしょう,取り次がないだろう,取り次がないでしょう,取り次いだり,取り次ぎましたり,取り次がなかったり,取り次ぎませんでしたり,取り次げ,取り次ぎなさい,取り次ぐな,取り次ぎなさるな,お取り次ぎになる,お取り次ぎになります,お取り次ぎする,お取り次ぎします,取り次がず＋に,取り次がぬ,,取り次がされません,取り次がされない,取り次がされる,取り次がす,,取り次がされます
to adhere to,くっつく,くっ付く,くっ付きます,くっ付かない,くっ付きません,くっ付いた,くっ付きました,くっ付かなかった,くっ付きませんでした,くっ付いて,くっ付きまして,くっ付かなくて,くっ付かないで,くっ付きませんで,くっ付き,くっ付いたら,くっ付きましたら,くっ付かなかったら,くっ付きませんでしたら,くっ付けば,くっ付くなら,くっ付きますなら,くっ付きませば,くっ付かなければ,くっ付かなくちゃ,くっ付かなきゃ,くっ付きませんなら,くっ付ける,くっ付けます,くっ付けない,くっ付けません,くっ付かれる,くっ付かれます,くっ付かれない,くっ付かれません,くっ付かせる,くっ付かせます,くっ付かします,くっ付かせない,くっ付かさない,くっ付かせません,くっ付かしません,くっ付かせられる,くっ付かせられます,くっ付かせられない,くっ付かせられません,くっ付こう,くっ付きましょう,くっ付くまい,くっ付きますまい,くっ付くだろう,くっ付くでしょう,くっ付かないだろう,くっ付かないでしょう,くっ付いたり,くっ付きましたり,くっ付かなかったり,くっ付きませんでしたり,くっ付け,くっ付きなさい,くっ付くな,くっ付きなさるな,おくっ付きになる,おくっ付きになります,おくっ付きする,おくっ付きします,くっ付かず＋に,くっ付かぬ,,くっ付かされません,くっ付かされない,くっ付かされる,くっ付かす,,くっ付かされます
to afflict,なやます,悩ます,悩まします,悩まさない,悩ましません,悩ました,悩ましました,悩まさなかった,悩ましませんでした,悩まして,悩ましまして,悩まさなくて,悩まさないで,悩ましませんで,悩まし,悩ましたら,悩ましましたら,悩まさなかったら,悩ましませんでしたら,悩ませば,悩ますなら,悩ましますなら,悩ましませば,悩まさなければ,悩まさなくちゃ,悩まさなきゃ,悩ましませんなら,悩ませる,悩ませます,悩ませない,悩ませません,悩まされる,悩まされます,悩まされない,悩まされません,悩まさせる,悩まさせます,悩まさします,悩まさせない,悩まささない,悩まさせません,悩まさしません,悩まさせられる,悩まさせられます,悩まさせられない,悩まさせられません,悩まそう,悩ましましょう,悩ますまい,悩ましますまい,悩ますだろう,悩ますでしょう,悩まさないだろう,悩まさないでしょう,悩ましたり,悩ましましたり,悩まさなかったり,悩ましませんでしたり,悩ませ,悩ましなさい,悩ますな,悩ましなさるな,お悩ましになる,お悩ましになります,お悩ましする,お悩ましします,悩まさず＋に,悩まさぬ,,悩まさされません,悩まさされない,悩まさされる,悩まさす,,悩まさされます
to apply (a rule),あてはまる,当てはまる,当てはまります,当てはまらない,当てはまりません,当てはまった,当てはまりました,当てはまらなかった,当てはまりませんでした,当てはまって,当てはまりまして,当てはまらなくて,当てはまらないで,当てはまりませんで,当てはまり,当てはまったら,当てはまりましたら,当てはまらなかったら,当てはまりませんでしたら,当てはまれば,当てはまるなら,当てはまりますなら,当てはまりませば,当てはまらなければ,当てはまらなくちゃ,当てはまらなきゃ,当てはまりませんなら,当てはまれる,当てはまれます,当てはまれない,当てはまれません,当てはまられる,当てはまられます,当てはまられない,当てはまられません,当てはまらせる,当てはまらせます,当てはまらします,当てはまらせない,当てはまらさない,当てはまらせません,当てはまらしません,当てはまらせられる,当てはまらせられます,当てはまらせられない,当てはまらせられません,当てはまろう,当てはまりましょう,当てはまるまい,当てはまりますまい,当てはまるだろう,当てはまるでしょう,当てはまらないだろう,当てはまらないでしょう,当てはまったり,当てはまりましたり,当てはまらなかったり,当てはまりませんでしたり,当てはまれ,当てはまりなさい,当てはまるな,当てはまりなさるな,お当てはまりになる,お当てはまりになります,お当てはまりする,お当てはまりします,当てはまらず＋に,当てはまらぬ,,当てはまらされません,当てはまらされない,当てはまらされる,当てはまらす,,当てはまらされます
to approach,ちかづく,近付く,近付きます,近付かない,近付きません,近付いた,近付きました,近付かなかった,近付きませんでした,近付いて,近付きまして,近付かなくて,近付かないで,近付きませんで,近付き,近付いたら,近付きましたら,近付かなかったら,近付きませんでしたら,近付けば,近付くなら,近付きますなら,近付きませば,近付かなければ,近付かなくちゃ,近付かなきゃ,近付きませんなら,近付ける,近付けます,近付けない,近付けません,近付かれる,近付かれます,近付かれない,近付かれません,近付かせる,近付かせます,近付かします,近付かせない,近付かさない,近付かせません,近付かしません,近付かせられる,近付かせられます,近付かせられない,近付かせられません,近付こう,近付きましょう,近付くまい,近付きますまい,近付くだろう,近付くでしょう,近付かないだろう,近付かないでしょう,近付いたり,近付きましたり,近付かなかったり,近付きませんでしたり,近付け,近付きなさい,近付くな,近付きなさるな,お近付きになる,お近付きになります,お近付きする,お近付きします,近付かず＋に,近付かぬ,,近付かされません,近付かされない,近付かされる,近付かす,,近付かされます
to ask,とう,問う,問います,問わない,問いません,問った,問いました,問わなかった,問いませんでした,問って,問いまして,問わなくて,問わないで,問いませんで,問い,問ったら,問いましたら,問わなかったら,問いませんでしたら,問えば,問うなら,問いますなら,問いませば,問わなければ,問わなくちゃ,問わなきゃ,問いませんなら,問える,問えます,問えない,問えません,問われる,問われます,問われない,問われません,問わせる,問わせます,問わします,問わせない,問わさない,問わせません,問わしません,問わせられる,問わせられます,問わせられない,問わせられません,問おう,問いましょう,問うまい,問いますまい,問うだろう,問うでしょう,問わないだろう,問わないでしょう,問ったり,問いましたり,問わなかったり,問いませんでしたり,問え,問いなさい,問うな,問いなさるな,お問いになる,お問いになります,お問いする,お問いします,問わず＋に,問わぬ,,問わされません,問わされない,問わされる,問わす,,問わされます
