Definition,Hiragana,Casual,Polite,Casual Negative,Polite Negative,Casual Past,Polite Past,Casual Past Negative,Polite Past Negative,Te,Polite Te ,Negative Te,Command Negative Te,Polite Negative Te,I form,Casual Conditional,Polite Conditional,Casual Conditional Negative,Polite Conditional Negative,Casual Provisional,Polite Provisional なら,Polite Provisional ば,Casual Provisional Negative ば,Casual Provisional Negative ち,Casual Provisional Negative き,Polite Provisional Negative,Casual Potential,Polite Potential,Casual Potential Negative,Polite Potential Negative,Casual Passive,Polite Passive,Casual Passive Negative,Polite Passive Negative,Casual Causative,Casual (Slang) Causative,Polite Causative,Polite (Slang) Causative,Casual Causative Negative,Casual (Slang) Causative Negative,Polite Causative Negative,Polite (Slang) Causative Negative,Casual Causative Passive,Casual Causative Passive,Polite Causative Passive,Polite Causative Passive,Causal Passive Negative,Causal Passive Negative,Causal Passive Negative,Causal Passive Negative,Volitional,Polite Volitional,Volitional Negative,Polite Volitional Negative,Conjectural,Polite Conjectural,Conjectural Negative,Polite Conjectural Negative,Alternative,Polite Alternative,Alternative Negative,Polite Alternative Negative,Imperative,Polite Imperative,Imperative Negative,Polite Imperative negative,,,,,,,,,,,,,,,
to meet,あう,会う,会います,会わない,会いません,会った,会いました,会わなかった,会いませんでした,会って,会いまして,会わなくて,会わないで,会いませんで,会い,会ったら,会いましたら,会わなかったら,会いませんでしたら,会えば,会いますなら,会いませば,会わなければ,会わなくちゃ,会わなきゃ,会いませんなら,会える,会えます,会えない,会えません,会われる,会われます,会われない,会われません,会わせる,会わす,会わせます,会わします,会わせない,会わさない,会わせません,会わしません,会わせられる,会わされる,会わせられます,会わされます,会わせられない,会わされない,会わせられません,会わされません,会おう,会いましょう,会うまい,会いますまい,会うだろう,会うでしょう,会わないだろう,会わないでしょう,会ったり,会いましたり,会わなかったり,会いませんでしたり,会え,会いなさい,会うな,会いなさるな,,会わず＋に,会わぬ,,,,,,,,,,,,
to come together,あう,合う,合います,合わない,合いません,合った,合いました,合わなかった,合いませんでした,合って,合いまして,合わなくて,合わないで,合いませんで,合い,合ったら,合いましたら,合わなかったら,合いませんでしたら,合えば,合いますなら,合いませば,合わなければ,合わなくちゃ,合わなきゃ,合いませんなら,合える,合えます,合えない,合えません,合われる,合われます,合われない,合われません,合わせる,合わす,合わせます,合わします,合わせない,合わさない,合わせません,合わしません,合わせられる,合わされる,合わせられます,合わされます,合わせられない,合わされない,合わせられません,合わされません,合おう,合いましょう,合うまい,合いますまい,合うだろう,合うでしょう,合わないだろう,合わないでしょう,合ったり,合いましたり,合わなかったり,合いませんでしたり,合え,合いなさい,合うな,合いなさるな,,合わず＋に,合わぬ,,,,,,,,,,,,
to rise,あがる,上がる,上がります,上がらない,上がりません,上がった,上がりました,上がらなかった,上がりませんでした,上がって,上がりまして,上がらなくて,上がらないで,上がりませんで,上がり,上がったら,上がりましたら,上がらなかったら,上がりませんでしたら,上がれば,上がりますなら,上がりませば,上がらなければ,上がらなくちゃ,上がらなきゃ,上がりませんなら,上がれる,上がれます,上がれない,上がれません,上がられる,上がられます,上がられない,上がられません,上がらせる,上がらす,上がらせます,上がらします,上がらせない,上がらさない,上がらせません,上がらしません,上がらせられる,上がらされる,上がらせられます,上がらされます,上がらせられない,上がらされない,上がらせられません,上がらされません,上がろう,上がりましょう,上がるまい,上がりますまい,上がるだろう,上がるでしょう,上がらないだろう,上がらないでしょう,上がったり,上がりましたり,上がらなかったり,上がりませんでしたり,上がれ,上がりなさい,上がるな,上がりなさるな,,上がらず＋に,上がらぬ,,,,,,,,,,,,
"to open (e.g. a bank-account, festival, etc.)",あく,開く,開きます,開かない,開きません,開いた,開きました,開かなかった,開きませんでした,開いて,開きまして,開かなくて,開かないで,開きませんで,開き,開いたら,開きましたら,開かなかったら,開きませんでしたら,開けば,開きますなら,開きませば,開かなければ,開かなくちゃ,開かなきゃ,開きませんなら,開ける,開けます,開けない,開けません,開かれる,開かれます,開かれない,開かれません,開かせる,開かす,開かせます,開かします,開かせない,開かさない,開かせません,開かしません,開かせられる,開かされる,開かせられます,開かされます,開かせられない,開かされない,開かせられません,開かされません,開こう,開きましょう,開くまい,開きますまい,開くだろう,開くでしょう,開かないだろう,開かないでしょう,開いたり,開きましたり,開かなかったり,開きませんでしたり,開け,開きなさい,開くな,開きなさるな,,開かず＋に,開かぬ,,,,,,,,,,,,
to become less crowded,あく,空く,空きます,空かない,空きません,空いた,空きました,空かなかった,空きませんでした,空いて,空きまして,空かなくて,空かないで,空きませんで,空き,空いたら,空きましたら,空かなかったら,空きませんでしたら,空けば,空きますなら,空きませば,空かなければ,空かなくちゃ,空かなきゃ,空きませんなら,空ける,空けます,空けない,空けません,空かれる,空かれます,空かれない,空かれません,空かせる,空かす,空かせます,空かします,空かせない,空かさない,空かせません,空かしません,空かせられる,空かされる,空かせられます,空かされます,空かせられない,空かされない,空かせられません,空かされません,空こう,空きましょう,空くまい,空きますまい,空くだろう,空くでしょう,空かないだろう,空かないでしょう,空いたり,空きましたり,空かなかったり,空きませんでしたり,空け,空きなさい,空くな,空きなさるな,,空かず＋に,空かぬ,,,,,,,,,,,,
to raise,あげる,上げる,上げります,上げらない,上げりません,上げった,上げりました,上げらなかった,上げりませんでした,上げって,上げりまして,上げらなくて,上げらないで,上げりませんで,上げり,上げったら,上げりましたら,上げらなかったら,上げりませんでしたら,上げれば,上げりますなら,上げりませば,上げらなければ,上げらなくちゃ,上げらなきゃ,上げりませんなら,上げれる,上げれます,上げれない,上げれません,上げられる,上げられます,上げられない,上げられません,上げらせる,上げらす,上げらせます,上げらします,上げらせない,上げらさない,上げらせません,上げらしません,上げらせられる,上げらされる,上げらせられます,上げらされます,上げらせられない,上げらされない,上げらせられません,上げらされません,上げろう,上げりましょう,上げるまい,上げりますまい,上げるだろう,上げるでしょう,上げらないだろう,上げらないでしょう,上げったり,上げりましたり,上げらなかったり,上げりませんでしたり,上げれ,上げりなさい,上げるな,上げりなさるな,,上げらず＋に,上げらぬ,,,,,,,,,,,,
to play,あそぶ,遊ぶ,遊びます,遊ばない,遊びません,遊んだ,遊びました,遊ばなかった,遊びませんでした,遊んで,遊びまして,遊ばなくて,遊ばないで,遊びませんで,遊び,遊んだら,遊びましたら,遊ばなかったら,遊びませんでしたら,遊べば,遊びますなら,遊びませば,遊ばなければ,遊ばなくちゃ,遊ばなきゃ,遊びませんなら,遊べる,遊べます,遊べない,遊べません,遊ばれる,遊ばれます,遊ばれない,遊ばれません,遊ばせる,遊ばす,遊ばせます,遊ばします,遊ばせない,遊ばさない,遊ばせません,遊ばしません,遊ばせられる,遊ばされる,遊ばせられます,遊ばされます,遊ばせられない,遊ばされない,遊ばせられません,遊ばされません,遊ぼう,遊びましょう,遊ぶまい,遊びますまい,遊ぶだろう,遊ぶでしょう,遊ばないだろう,遊ばないでしょう,遊んだり,遊びましたり,遊ばなかったり,遊びませんでしたり,遊べ,遊びなさい,遊ぶな,遊びなさるな,,遊ばず＋に,遊ばぬ,,,,,,,,,,,,
to wash,あらう,洗う,洗います,洗わない,洗いません,洗った,洗いました,洗わなかった,洗いませんでした,洗って,洗いまして,洗わなくて,洗わないで,洗いませんで,洗い,洗ったら,洗いましたら,洗わなかったら,洗いませんでしたら,洗えば,洗いますなら,洗いませば,洗わなければ,洗わなくちゃ,洗わなきゃ,洗いませんなら,洗える,洗えます,洗えない,洗えません,洗われる,洗われます,洗われない,洗われません,洗わせる,洗わす,洗わせます,洗わします,洗わせない,洗わさない,洗わせません,洗わしません,洗わせられる,洗わされる,洗わせられます,洗わされます,洗わせられない,洗わされない,洗わせられません,洗わされません,洗おう,洗いましょう,洗うまい,洗いますまい,洗うだろう,洗うでしょう,洗わないだろう,洗わないでしょう,洗ったり,洗いましたり,洗わなかったり,洗いませんでしたり,洗え,洗いなさい,洗うな,洗いなさるな,,洗わず＋に,洗わぬ,,,,,,,,,,,,
to walk,あるく,歩く,歩きます,歩かない,歩きません,歩いた,歩きました,歩かなかった,歩きませんでした,歩いて,歩きまして,歩かなくて,歩かないで,歩きませんで,歩き,歩いたら,歩きましたら,歩かなかったら,歩きませんでしたら,歩けば,歩きますなら,歩きませば,歩かなければ,歩かなくちゃ,歩かなきゃ,歩きませんなら,歩ける,歩けます,歩けない,歩けません,歩かれる,歩かれます,歩かれない,歩かれません,歩かせる,歩かす,歩かせます,歩かします,歩かせない,歩かさない,歩かせません,歩かしません,歩かせられる,歩かされる,歩かせられます,歩かされます,歩かせられない,歩かされない,歩かせられません,歩かされません,歩こう,歩きましょう,歩くまい,歩きますまい,歩くだろう,歩くでしょう,歩かないだろう,歩かないでしょう,歩いたり,歩きましたり,歩かなかったり,歩きませんでしたり,歩け,歩きなさい,歩くな,歩きなさるな,,歩かず＋に,歩かぬ,,,,,,,,,,,,
